ID,REGION_PARENT,REGION_CHILD,NX,NY
1,서울특별시,종로구,60,127
2,서울특별시,중구,60,127
3,서울특별시,용산구,60,127
4,서울특별시,성동구,60,127
5,서울특별시,광진구,60,127
6,서울특별시,동대문구,60,127
7,서울특별시,중랑구,60,127
8,서울특별시,성북구,60,127
9,서울특별시,강북구,60,127
10,서울특별시,도봉구,60,127
11,서울특별시,노원구,60,127
12,서울특별시,은평구,60,127
13,서울특별시,서대문구,60,127
14,서울특별시,마포구,61,127
15,서울특별시,양천구,60,127
16,서울특별시,강서구,60,127
17,서울특별시,구로구,60,127
18,서울특별시,금천구,61,127
19,서울특별시,영등포구,60,127
20,서울특별시,동작구,60,127
21,서울특별시,관악구,60,126
22,서울특별시,서초구,60,127
23,서울특별시,강남구,60,127
24,서울특별시,송파구,60,127
25,서울특별시,강동구,60,127
26,부산광역시,중구,60,127
27,부산광역시,서구,60,127
28,부산광역시,동구,60,126
29,부산광역시,영도구,60,126
30,부산광역시,부산진구,60,126
31,부산광역시,동래구,61,127
32,부산광역시,남구,61,127
33,부산광역시,북구,61,127
34,부산광역시,해운대구,60,126
35,부산광역시,사하구,60,126
36,부산광역시,금정구,60,126
37,부산광역시,강서구,60,126
38,부산광역시,연제구,60,126
39,부산광역시,수영구,60,126
40,부산광역시,사상구,60,126
41,부산광역시,기장군,59,126
42,대구광역시,중구,60,126
43,대구광역시,동구,60,126
44,대구광역시,서구,60,126
45,대구광역시,남구,60,126
46,대구광역시,북구,59,126
47,대구광역시,수성구,60,126
48,대구광역시,달서구,60,126
49,대구광역시,달성군,60,126
50,대구광역시,군위군,60,126
51,인천광역시,중구,60,126
52,인천광역시,동구,61,127
53,인천광역시,미추홀구,61,127
54,인천광역시,연수구,61,127
55,인천광역시,남동구,61,127
56,인천광역시,부평구,61,127
57,인천광역시,계양구,61,126
58,인천광역시,서구,61,126
59,인천광역시,강화군,61,126
60,인천광역시,옹진군,61,126
61,광주광역시,동구,61,126
62,광주광역시,서구,61,126
63,광주광역시,남구,60,126
64,광주광역시,북구,61,126
65,광주광역시,광산구,61,126
66,대전광역시,동구,61,126
67,대전광역시,중구,61,126
68,대전광역시,서구,61,126
69,대전광역시,유성구,61,127
70,대전광역시,대덕구,62,126
71,울산광역시,중구,61,126
72,울산광역시,남구,62,126
73,울산광역시,동구,62,127
74,울산광역시,북구,62,127
75,울산광역시,울주군,62,127
76,세종특별자치시,세종특별자치시,62,127
77,경기도,수원시장안구,62,126
78,경기도,수원시권선구,62,126
79,경기도,수원시팔달구,62,126
80,경기도,수원시영통구,62,126
81,경기도,성남시수정구,61,126
82,경기도,성남시중원구,61,126
83,경기도,성남시분당구,62,126
84,경기도,의정부시,62,126
85,경기도,안양시만안구,62,126
86,경기도,안양시동안구,61,127
87,경기도,부천시원미구,61,127
88,경기도,부천시소사구,61,127
89,경기도,부천시오정구,61,127
90,경기도,광명시,61,127
91,경기도,평택시,61,127
92,경기도,동두천시,61,127
93,경기도,안산시상록구,61,127
94,경기도,안산시단원구,61,127
95,경기도,고양시덕양구,61,127
96,경기도,고양시일산동구,61,127
97,경기도,고양시일산서구,61,127
98,경기도,과천시,61,127
99,경기도,구리시,61,127
100,경기도,남양주시,61,127
101,경기도,오산시,62,128
102,경기도,시흥시,62,127
103,경기도,군포시,62,127
104,경기도,의왕시,62,127
105,경기도,하남시,62,127
106,경기도,용인시처인구,62,127
107,경기도,용인시기흥구,62,127
108,경기도,용인시수지구,62,127
109,경기도,파주시,62,127
110,경기도,이천시,62,127
111,경기도,안성시,62,127
112,경기도,김포시,62,128
113,경기도,화성시,62,128
114,경기도,광주시,62,127
115,경기도,양주시,62,127
116,경기도,포천시,62,128
117,경기도,여주시,62,128
118,경기도,연천군,61,127
119,경기도,가평군,60,127
120,경기도,양평군,60,127
121,충청북도,청주시상당구,61,127
122,충청북도,청주시서원구,61,127
123,충청북도,청주시흥덕구,60,127
124,충청북도,청주시청원구,61,127
125,충청북도,충주시,61,127
126,충청북도,제천시,60,127
127,충청북도,보은군,60,127
128,충청북도,옥천군,60,128
129,충청북도,영동군,60,128
130,충청북도,증평군,61,127
131,충청북도,진천군,61,128
132,충청북도,괴산군,61,127
133,충청북도,음성군,61,128
134,충청북도,단양군,61,127
135,충청남도,천안시동남구,61,128
136,충청남도,천안시서북구,61,128
137,충청남도,공주시,61,128
138,충청남도,보령시,61,128
139,충청남도,아산시,61,128
140,충청남도,서산시,61,128
141,충청남도,논산시,61,128
142,충청남도,계룡시,61,128
143,충청남도,당진시,61,128
144,충청남도,금산군,61,128
145,충청남도,부여군,61,128
146,충청남도,서천군,61,128
147,충청남도,청양군,61,128
148,충청남도,홍성군,60,128
149,충청남도,예산군,61,128
150,충청남도,태안군,61,128
151,전라남도,목포시,60,128
152,전라남도,여수시,60,128
153,전라남도,순천시,61,129
154,전라남도,나주시,61,128
155,전라남도,광양시,61,128
156,전라남도,담양군,61,128
157,전라남도,곡성군,61,129
158,전라남도,구례군,61,129
159,전라남도,고흥군,61,129
160,전라남도,보성군,61,129
161,전라남도,화순군,61,128
162,전라남도,장흥군,61,129
163,전라남도,강진군,61,128
164,전라남도,해남군,61,129
165,전라남도,영암군,61,129
166,전라남도,무안군,61,129
167,전라남도,함평군,61,129
168,전라남도,영광군,61,129
169,전라남도,장성군,61,128
170,전라남도,완도군,61,128
171,전라남도,진도군,61,128
172,전라남도,신안군,61,128
173,경상북도,포항시남구,62,128
174,경상북도,포항시북구,61,128
175,경상북도,경주시,61,128
176,경상북도,김천시,62,128
177,경상북도,안동시,62,129
178,경상북도,구미시,62,129
